bank,name,network,joining_fee,annual_fee,reward_type,base_reward_rate,best_reward_rate,best_category,lounge_domestic,lounge_international,forex_markup,min_income_lpa,segment,rating,best_for,lifetime_free,is_cashback,is_miles,has_both_lounge,is_lifetime_free,forex_low,fee_tier,segment_encoded,content
HSBC Bank,Premier Credit Card,Mastercard,0,0,Reward Points,1.0,5.0,All eligible spends,True,True,2.0,20,Premium,4.4,Travel|Shopping,True,0,0,1,1,1,Free,4,HSBC Bank Premier Credit Card Reward Points Travel|Shopping Premium All eligible spends
Kotak Mahindra Bank,811 Dream Credit Card,Mastercard,0,0,Reward Points,1.0,2.0,All eligible spends,False,False,3.5,3,Entry,4.2,Shopping,True,0,0,0,1,0,Free,0,Kotak Mahindra Bank 811 Dream Credit Card Reward Points Shopping Entry All eligible spends
Kotak Mahindra Bank,League Platinum Credit Card,Visa,499,499,Reward Points,1.0,4.0,All eligible spends,False,False,3.5,3,Entry,4.3,Shopping,False,0,0,0,0,0,Entry,0,Kotak Mahindra Bank League Platinum Credit Card Reward Points Shopping Entry All eligible spends
Kotak Mahindra Bank,White Reserve Credit Card,Visa,3000,3000,Reward Points,1.0,6.0,All eligible spends,True,True,2.0,10,Premium,4.4,Travel|Lifestyle,False,0,0,1,0,1,Premium,4,Kotak Mahindra Bank White Reserve Credit Card Reward Points Travel|Lifestyle Premium All eligible spends
Standard Chartered,Manhattan Platinum Card,Mastercard,999,999,Cashback,0.5,5.0,Supermarkets/dining,False,False,3.5,4,Entry,4.3,Shopping|Dining,False,1,0,0,0,0,Mid,0,Standard Chartered Manhattan Platinum Card Cashback Shopping|Dining Entry Supermarkets/dining
Standard Chartered,Smart Credit Card,Mastercard,0,499,Cashback,1.0,5.0,Online spends,True,False,3.5,5,Entry,4.4,Shopping,False,1,0,0,0,0,Entry,0,Standard Chartered Smart Credit Card Cashback Shopping Entry Online spends
Yes Bank,YES FIRST Preferred Credit Card,Mastercard,2999,2999,Reward Points,2.0,8.0,All eligible spends,True,True,2.0,10,Mid-Premium,4.4,Travel|Shopping,False,0,0,1,0,1,Premium,3,Yes Bank YES FIRST Preferred Credit Card Reward Points Travel|Shopping Mid-Premium All eligible spends
Yes Bank,YES FIRST Exclusive Credit Card,Mastercard,9999,9999,Reward Points,3.0,12.0,All eligible spends,True,True,1.75,20,Super Premium,4.5,Travel|Luxury,False,0,0,1,0,1,Super Premium,5,Yes Bank YES FIRST Exclusive Credit Card Reward Points Travel|Luxury Super Premium All eligible spends
RBL Bank,Shoprite Credit Card,Mastercard,500,500,Cashback,0.5,5.0,Groceries/online,False,False,3.5,3,Entry,4.2,Shopping|Grocery,False,1,0,0,0,0,Entry,0,RBL Bank Shoprite Credit Card Cashback Shopping|Grocery Entry Groceries/online
Federal Bank,Signet Credit Card,Visa,0,499,Reward Points,1.0,3.0,All eligible spends,False,False,3.5,3,Entry,4.2,Shopping,False,0,0,0,0,0,Entry,0,Federal Bank Signet Credit Card Reward Points Shopping Entry All eligible spends
Bank of Baroda,Eterna Credit Card,Mastercard,2499,2499,Reward Points,1.0,6.0,All eligible spends,True,True,2.0,8,Mid-Premium,4.3,Travel|Shopping,False,0,0,1,0,1,Premium,3,Bank of Baroda Eterna Credit Card Reward Points Travel|Shopping Mid-Premium All eligible spends
Bank of Baroda,Premier Credit Card,Visa,999,999,Reward Points,1.0,3.0,All eligible spends,True,False,3.5,5,Entry-Mid,4.2,Shopping,False,0,0,0,0,0,Mid,1,Bank of Baroda Premier Credit Card Reward Points Shopping Entry-Mid All eligible spends
PNB,Pride Platinum Credit Card,RuPay,500,500,Reward Points,1.0,3.0,All spends,False,False,3.5,3,Entry,4.0,Shopping,False,0,0,0,0,0,Entry,0,PNB Pride Platinum Credit Card Reward Points Shopping Entry All spends
Union Bank,RuPay Select Credit Card,RuPay,0,0,Reward Points,1.0,2.0,All spends,False,False,3.5,3,Entry,4.0,Shopping,True,0,0,0,1,0,Free,0,Union Bank RuPay Select Credit Card Reward Points Shopping Entry All spends
Canara Bank,Platinum Credit Card,Visa,500,500,Reward Points,1.0,2.0,All spends,False,False,3.5,3,Entry,3.9,Shopping,False,0,0,0,0,0,Entry,0,Canara Bank Platinum Credit Card Reward Points Shopping Entry All spends
